お知らせ|ステータス|日付|リンク|備考
七面鳥しおりを販売します！|新作商品！|2024/10/29||
百万遍さんの手づくり市に出店します！|イベント参加|2024/11/15|https://kyoudaikobo.com/about.html#Handmademarket|
京大NFに出店します！|イベント参加|2024/11/20|https://www.nf.la/|
百万遍さんの手づくり市に出店します！|イベント参加|2024/12/15|https://www.instagram.com/p/DDBs67Fy-nq/?img_index=1|
あけましておめでとうございます！！|お知らせ|2025/01/01|https://www.instagram.com/p/DEPzpJ2PEpT/|
百万遍さんの手づくり市に出店します！|イベント参加|2025/01/15|https://www.instagram.com/p/DErmGPjv89N/?img_index=1|
百万遍さんの手づくり市に出店します！|イベント参加|2025/02/15|https://www.instagram.com/p/DFzXyHNy1K-/?img_index=1|
百万遍さんの手づくり市に出店します！|イベント参加|2025/03/15|https://www.instagram.com/p/DGzUKywvHQg/?img_index=1|
紅萠祭ビラロードに参加します！|新歓情報|2025/04/02|https://x.com/kohosai53rd/status/1890902072922370504|
西部講堂演芸祭に出店します！|イベント参加|2025/04/12|https://www.instagram.com/p/DG2xIXQSiHS/|
百万遍さんの手づくり市に出店します！|イベント参加|2025/04/15|https://www.instagram.com/p/DIVfBGrp19G/?img_index=1|
百万遍さんの手づくり市に出店します！|イベント参加|2025/05/15|https://www.instagram.com/p/DJiu2W8JCbQ/?img_index=1|
6/15の百万遍さんの手づくり市に出店します！|イベント参加|2025/06/09|https://www.instagram.com/p/DKtFOhRPVwB/?img_index=1|
7/6(日) デザインフェスタに出展します！|イベント参加|2025/06/27|https://www.instagram.com/p/DLTtMbnpq_m/?img_index=1|
百万遍さんの手づくり市に出店します！|イベント参加|2025/07/15|https://www.instagram.com/p/DL8mZ8Tzw48/?img_index=1|
百万遍さんの手づくり市に出店します！|イベント参加|2025/09/15|https://www.instagram.com/p/DOiBXLGD1hG/?img_index=1|
百万遍さんの手づくり市に出店します！|イベント参加|2025/10/17|https://www.instagram.com/kyoudai_kobo/p/DPxNveME1_D/|
|お知らせ|||
